use_mrd,use_rrd,use_we,use_sp,mean_accuracy,mean_mae
y,n,n,n,0.6575192096597146,0.37371304283234924
n,y,n,n,0.677277716794731,0.30846218330849484
n,n,y,n,0.7453347969264544,1.896437083011061
n,n,n,y,0.535675082327113,0.06355182610500104
y,y,n,n,0.6871569703622393,0.24646843578448943
y,n,y,n,0.7596048298572997,3.1634173756657673
y,n,n,y,0.6520307354555434,1.4484895450143687
n,y,y,n,0.7628979143798024,2.145439119614908
n,y,n,y,0.677277716794731,0.3084621734831192
n,n,y,y,0.7683863885839737,1.6433946358165594
y,y,y,n,0.7837541163556532,1.9589403057342465
y,y,n,y,0.6838638858397366,0.2467299774566583
y,n,y,y,0.7672886937431395,2.086175735881328
n,y,y,y,0.7650933040614709,1.3875021615826244
y,y,y,y,0.7782656421514819,3.0998620910285672
